person_id,age,gender,region,annual_income,credit_score,loan_amount,monthly_expense,savings_balance,investment_amount,employment_status,marital_status,home_ownership,credit_card_usage,num_credit_cards,loan_purpose,employment_years,debt_to_income_ratio,late_payment_history,savings_rate,housing_market_exposure,stock_market_exposure,bankruptcy_history,monthly_loan_installment,loan_default
3392875,52,Male,North,114555,807,33399,2786,21436,27314,Self-Employed,Married,Own,89,5,Personal,27,0.88,9,0.29,61736,224105,No,816,0
7954735,82,Male,South,52561,578,37886,3822,17130,72087,Retired,Single,Rent,22,3,Business,25,0.25,5,0.22,116721,241683,No,838,1
1454312,64,Male,East,95407,610,19548,2901,18153,26993,Retired,Married,Rent,65,3,Personal,9,0.52,9,0.03,118772,162138,No,1402,0
440111,20,Female,North,86783,722,17874,429,5621,39739,Unemployed,Married,Own,47,1,Home,33,0.84,3,0.23,85917,92743,No,471,0
2187191,18,Male,North,76391,712,42272,2532,29740,64596,Employed,Widowed,Rent,7,5,Personal,35,0.8,8,0.19,189049,202495,No,1598,0
8217340,22,Male,West,49927,641,21166,3800,40129,65640,Self-Employed,Divorced,Own,36,5,Personal,17,0.25,1,0.21,146338,217516,No,1016,0
4080651,31,Male,North,45238,820,22949,5254,10545,29574,Employed,Married,Mortgage,29,1,Business,19,0.24,3,0.07,30000,281149,No,1232,1
6221288,44,Male,West,47828,677,25706,473,-14454,28356,Employed,Single,Own,39,5,Home,36,0.39,9,0.06,127080,154764,No,429,0
4611376,26,Male,East,88826,682,7033,3157,-9290,48800,Unemployed,Married,Rent,93,1,Business,27,0.44,4,0.15,75365,163533,No,1176,0
368145,32,Female,West,102646,653,770,5388,23113,29470,Unemployed,Married,Rent,66,2,Personal,7,0.69,4,0.15,121214,123880,No,796,0
7527225,59,Female,West,91680,725,31653,1722,3434,61149,Retired,Widowed,Mortgage,60,3,Home,27,0.87,8,0.02,30062,220160,No,425,0
4749990,68,Female,West,55022,647,9929,2565,21163,56561,Retired,Widowed,Mortgage,99,5,Business,31,0.41,8,0.18,104941,182329,Yes,1439,0
1997340,80,Female,North,55313,633,11747,3448,11674,64712,Employed,Divorced,Own,47,3,Personal,22,0.58,3,0.13,108594,412328,No,1706,0
2376634,69,Female,South,26312,605,23552,3396,40691,49056,Unemployed,Single,Rent,32,3,Education,35,0.77,9,0.28,2461,180295,Yes,741,0
2828675,21,Male,East,54397,658,19078,4105,18573,16392,Employed,Single,Own,49,2,Home,21,0.71,5,0.28,161833,224637,No,205,0
1846522,40,Female,East,64900,586,21289,3076,4837,77803,Self-Employed,Married,Own,12,1,Personal,34,0.58,6,0.02,99556,317000,No,428,0
9969290,32,Male,South,49732,676,18163,3453,12250,63572,Self-Employed,Divorced,Mortgage,59,4,Car,15,0.23,0,0.09,25946,176018,No,-41,1
7396082,60,Male,North,66901,609,19210,5256,15994,76601,Self-Employed,Widowed,Rent,80,5,Personal,5,0.3,0,0.27,169269,137708,No,1040,0
219449,46,Female,South,30025,602,27335,4302,16382,930,Employed,Widowed,Mortgage,53,3,Personal,37,0.76,9,0.12,90929,127966,No,2024,0
8518502,53,Female,South,109392,790,20691,2119,7918,8506,Employed,Widowed,Own,9,1,Education,38,0.18,3,0.29,101663,167664,No,554,0
6160750,30,Female,South,55156,561,22251,4458,31246,48746,Retired,Widowed,Rent,18,2,Home,36,0.78,9,0.07,122750,165350,No,846,0
7003752,49,Male,North,60588,698,18451,2928,52771,22301,Unemployed,Divorced,Own,73,5,Car,7,0.25,4,0.29,216920,177949,Yes,1479,1
1632833,88,Female,West,77167,725,30443,2678,9372,57220,Employed,Married,Rent,89,3,Business,16,0.66,9,0.21,84650,257200,No,1424,0
2132646,76,Male,North,50428,620,18844,3488,39908,65380,Employed,Widowed,Mortgage,35,2,Car,33,0.71,0,0.08,151513,242942,No,1211,0
2080818,45,Female,East,44555,763,-529,2004,38351,86076,Self-Employed,Widowed,Mortgage,63,3,Education,1,0.87,5,0.17,96914,211582,No,530,0
3315498,83,Male,South,65476,683,18562,3432,22874,20367,Employed,Married,Rent,5,5,Personal,16,0.13,2,0.13,104822,167973,No,767,0
7504137,59,Female,South,87357,702,23374,5485,27373,14822,Self-Employed,Divorced,Rent,58,5,Personal,37,0.78,1,0.1,159241,88815,No,1519,0
9113022,62,Female,West,114207,695,11580,3046,21191,90805,Unemployed,Married,Own,30,4,Business,0,0.42,9,0.25,90307,190301,No,847,1
5406130,79,Male,South,82804,468,15464,3296,23162,55649,Retired,Married,Mortgage,89,4,Personal,33,0.38,8,0.17,117030,364189,No,1109,0
6415442,74,Female,West,110639,649,24772,1239,17678,68395,Unemployed,Divorced,Mortgage,14,2,Education,12,0.39,5,0.07,148187,337838,No,344,0
269436,23,Male,South,64175,833,14196,3958,4524,29662,Retired,Single,Own,24,1,Personal,2,0.54,7,0.2,100143,146574,No,190,1
7008845,45,Male,North,43766,558,-4144,5755,23910,28098,Unemployed,Married,Own,2,3,Business,26,0.83,5,0.16,46056,141272,Yes,1972,0
6503770,45,Male,West,70425,518,38136,2486,8909,59205,Retired,Single,Own,77,1,Business,19,0.55,4,0.27,87986,151921,No,1410,0
8797546,61,Female,South,39063,624,26808,2241,10135,22077,Retired,Single,Rent,32,4,Education,23,0.67,4,0.11,12499,310800,No,1317,0
6975662,47,Female,South,68896,647,23494,4762,49108,55375,Employed,Single,Mortgage,95,2,Education,24,0.34,1,0.27,34916,281733,No,1101,1
9065042,79,Male,West,41721,681,25632,2148,-2375,55721,Self-Employed,Divorced,Rent,55,4,Education,32,0.23,4,0.26,49680,70279,Yes,759,0
3231835,79,Male,South,61912,661,36194,2156,8960,-3315,Self-Employed,Widowed,Own,79,1,Business,17,0.19,0,0.24,34091,230691,No,1751,0
1462910,18,Female,East,68411,758,16316,3151,15768,61534,Employed,Divorced,Mortgage,19,1,Car,13,0.68,6,0.05,141988,135565,No,1090,0
9324637,44,Male,West,64819,710,30242,4583,19510,20256,Retired,Single,Own,3,3,Education,10,0.48,2,0.22,88885,101259,No,1215,0
7851199,79,Male,North,71491,739,3767,4684,25378,70385,Unemployed,Single,Own,48,3,Business,27,0.82,9,0.12,145347,197332,No,1097,0
8681156,20,Male,South,100017,654,31522,5097,40515,55596,Retired,Widowed,Rent,0,3,Business,11,0.24,2,0.03,104227,209879,No,1231,0
1117423,87,Female,North,24293,816,36885,2548,17564,71201,Unemployed,Widowed,Rent,16,3,Car,33,0.37,1,0.07,96257,136975,No,660,0
5413618,89,Female,North,91272,568,19718,2180,19333,60358,Employed,Divorced,Own,8,2,Education,20,0.31,1,0.19,125254,87275,No,1797,1
8895662,44,Male,East,82552,487,17477,1682,14955,20658,Self-Employed,Single,Own,2,1,Personal,29,0.6,8,0.2,155785,333246,No,417,0
4741798,26,Male,West,43565,628,11532,2643,45921,-11024,Self-Employed,Single,Mortgage,6,1,Car,26,0.58,0,0.16,101869,225339,No,204,0
7387095,79,Female,West,49809,631,20822,1594,9476,32542,Self-Employed,Divorced,Own,98,5,Car,30,0.77,6,0.14,144586,256738,No,325,0
6067439,54,Male,West,69979,747,3373,4993,-11938,48375,Employed,Divorced,Mortgage,38,4,Personal,5,0.8,8,0.05,59625,111052,No,883,0
3210537,68,Other,West,30439,588,14831,6069,73058,75467,Retired,Divorced,Mortgage,21,4,Personal,15,0.61,1,0.2,182601,16139,No,911,0
5894145,61,Male,North,70608,904,19958,2285,8267,30057,Self-Employed,Widowed,Own,82,3,Business,34,0.27,3,0.2,166474,248064,Yes,639,0
5974886,41,Male,South,91383,582,9123,1764,28189,48295,Unemployed,Widowed,Rent,13,4,Personal,18,0.37,8,0.04,126969,116766,No,372,0
2433831,76,Male,South,50307,574,13102,1134,7614,33573,Self-Employed,Widowed,Rent,22,2,Education,4,0.72,5,0.1,155867,153736,No,152,0
8586082,49,Female,South,56320,544,22607,-832,25512,61689,Retired,Divorced,Rent,19,5,Car,10,0.3,4,0.21,117121,102052,No,741,0
4567912,69,Male,North,29960,545,18419,4310,24078,51098,Retired,Married,Rent,75,1,Personal,11,0.37,3,0.15,97732,78485,No,1759,0
2085588,79,Male,South,55733,742,30304,4422,31680,-2517,Unemployed,Married,Mortgage,34,4,Business,12,0.34,3,0.23,109458,54558,No,889,0
9677122,75,Male,North,72180,506,17267,1921,-2447,70475,Unemployed,Single,Mortgage,37,5,Education,3,0.49,1,0.19,181756,262747,Yes,1467,0
6315364,69,Female,West,47384,536,33108,5779,21471,85562,Retired,Divorced,Rent,56,1,Home,26,0.8,9,0.26,126679,325353,No,896,0
6865346,29,Female,West,64240,664,26868,2963,19596,35650,Employed,Divorced,Own,24,4,Home,21,0.22,5,0.3,111996,281893,No,91,0
6069635,56,Female,South,67675,583,18638,5107,42263,43569,Unemployed,Single,Mortgage,0,3,Education,5,0.72,8,0.29,151183,375177,No,1754,1
1858399,19,Male,East,78793,681,18380,3995,16509,57400,Unemployed,Widowed,Own,34,5,Personal,29,0.55,8,0.22,73496,255654,No,-402,0
6048627,20,Female,West,111089,767,11427,2025,54404,55332,Employed,Widowed,Own,37,1,Personal,25,0.72,5,0.17,65267,450457,No,1160,0
3294063,73,Female,South,61353,511,19185,2740,4877,51748,Unemployed,Single,Mortgage,64,5,Home,18,0.27,3,0.17,12755,327253,No,306,0
4342906,76,Male,South,17299,621,20910,3221,13033,55284,Employed,Widowed,Own,53,3,Home,22,0.4,5,0.1,20667,266146,No,1251,0
5518697,19,Female,West,60492,736,23228,4415,52283,48326,Unemployed,Single,Mortgage,27,2,Education,5,0.82,3,0.02,158071,249627,No,2194,0
1003295,19,Female,South,32694,773,24413,3874,26483,99445,Retired,Single,Mortgage,91,3,Education,10,0.71,0,0.29,149842,125837,No,1204,0
831537,71,Male,West,67804,636,27156,2119,22485,27066,Employed,Married,Own,18,3,Education,38,0.87,5,0.04,83860,373417,No,1162,1
7973358,18,Male,North,65024,637,6512,27,42387,17633,Unemployed,Single,Mortgage,99,4,Business,32,0.49,7,0.02,83286,69326,Yes,917,0
5138708,36,Female,North,55983,685,17021,3538,21291,60801,Unemployed,Widowed,Mortgage,53,5,Car,14,0.61,7,0.02,40800,297462,No,531,0
4353020,19,Female,South,35469,539,12898,-454,40527,25548,Employed,Widowed,Mortgage,57,2,Business,19,0.31,8,0.29,112916,91085,No,1090,1
8401662,70,Male,North,53195,736,20930,3826,26016,55795,Self-Employed,Married,Mortgage,64,1,Personal,1,0.49,1,0.14,-13149,204786,No,1170,0
9925979,61,Female,West,42366,820,-311,2986,10121,57989,Retired,Widowed,Mortgage,22,4,Business,37,0.5,5,0.13,99387,150713,No,1812,0
2324172,49,Female,South,55698,819,26572,1544,16998,26564,Self-Employed,Widowed,Mortgage,61,5,Car,27,0.7,5,0.29,193360,357288,No,195,0
5515343,87,Female,South,48911,552,26278,3431,32178,51032,Self-Employed,Married,Mortgage,5,1,Home,1,0.3,8,0.07,60767,71417,Yes,809,0
3618826,49,Female,South,71774,670,20981,3924,43629,34293,Employed,Widowed,Mortgage,71,2,Personal,23,0.71,8,0.26,174037,157979,No,317,0
6172486,85,Female,West,88850,610,10294,3955,35717,51308,Employed,Single,Rent,30,2,Car,5,0.36,6,0.05,157245,294303,No,616,0
2508747,72,Female,South,69635,533,24021,4240,15210,83974,Retired,Divorced,Own,66,2,Car,19,0.13,9,0.01,185209,263629,No,704,1
7239976,73,Male,West,84661,532,24851,2660,32765,39394,Retired,Single,Rent,41,1,Business,1,0.82,6,0.11,52662,286892,No,1486,1
6115299,34,Female,South,90450,558,24949,2413,23295,19296,Self-Employed,Widowed,Mortgage,74,3,Personal,11,0.17,3,0.09,38756,191831,No,722,0
1838157,55,Female,South,38783,727,12633,3340,-5142,77809,Self-Employed,Widowed,Own,23,2,Personal,31,0.85,5,0.15,161398,151067,Yes,1702,1
7675705,41,Male,North,62112,635,-7418,4356,24552,38759,Employed,Divorced,Mortgage,1,1,Education,17,0.21,9,0.25,102393,246919,No,-211,0
3370027,86,Female,East,63250,558,31164,2994,7457,37673,Self-Employed,Widowed,Mortgage,65,2,Education,39,0.37,8,0.2,109559,232664,No,1232,0
2873811,87,Male,North,37376,679,27726,1767,-7324,41372,Employed,Single,Rent,3,5,Car,22,0.72,8,0.24,91845,122381,No,1587,0
422071,28,Female,South,71332,403,13012,810,11556,59822,Self-Employed,Married,Rent,41,3,Business,25,0.23,7,0.06,46037,259747,No,1539,1
9261952,33,Female,South,77102,555,9788,3300,-13806,51136,Unemployed,Widowed,Mortgage,59,5,Personal,22,0.3,0,0.13,169968,196483,Yes,600,0
7905790,76,Female,West,61618,497,42937,2416,32628,76386,Retired,Single,Own,71,5,Car,31,0.74,8,0.08,116273,314118,No,162,1
1271862,87,Male,West,36945,624,17409,3346,4438,66017,Unemployed,Divorced,Rent,50,3,Business,24,0.78,1,0.15,134634,289098,No,528,1
