PID,age,sex,marital_status,job,employment_since,credit_hist,credit_amount,purpose,duration,installment_rate,debtors,residence_since,property,installment_other,housing,existing_credits,liable_people,monthly_rent_or_mortgage,tel,online_banking,foreign,checking_account,savings,default
4888205,31,male,single,skilled employee / official,unemployed,existing credits paid,250,car (new),46,2,none,3,real estate,none,own,1,1,666,registered,yes,yes,no checking account,27,2
8033070,54,female,single,skilled employee / official,27,critical account,12017,furniture/equipment,14,4,none,2,life insurance,none,own,3,1,219,none,yes,yes,no checking account,38,2
2009773,40,male,single,management/self-employed/highly qualified,<1 year,delay,3401,radio/television,17,2,co-applicant,1,real estate,none,own,4,1,47,registered,yes,yes,no checking account,unknown,2
5437227,29,male,divorced/separated,skilled employee / official,4,existing credits paid,905,furniture/equipment,30,4,none,4,unknown /no property,stores,own,1,1,177,none,yes,yes,no checking account,92,1
7279907,32,male,divorced/separated,skilled employee / official,5,critical account,2734,furniture/equipment,19,4,co-applicant,4,unknown /no property,none,own,2,2,193,registered,yes,yes,76,79,2
4151091,32,female,divorced/separated,skilled employee / official,1,critical account,13919,radio/television,21,4,none,4,unknown /no property,none,own,1,1,662,none,yes,yes,no checking account,432,1
1939950,33,male,single,unskilled - resident,5,critical account,1386,business,19,2,none,1,life insurance,none,own,3,1,172,registered,yes,yes,no checking account,355,2
7216158,32,male,divorced/separated,skilled employee / official,7,delay,13562,car (new),29,4,none,4,unknown /no property,none,own,1,1,196,registered,yes,yes,76,71,1
11380742,33,male,single,management/self-employed/highly qualified,<1 year,critical account,4546,education,18,4,none,1,life insurance,bank,rent,2,2,218,registered,yes,yes,-187,59,1
2196234,43,male,single,skilled employee / official,11,existing credits paid,5192,car (used),66,2,none,2,car or other,none,own,1,1,269,none,yes,yes,4,2799,2
8341286,59,male,single,skilled employee / official,2,existing credits paid,982,business,35,3,none,2,real estate,none,own,2,2,600,registered,no,yes,no checking account,500,1
12556880,38,male,divorced/separated,skilled employee / official,17,critical account,790,business,8,4,co-applicant,4,real estate,none,own,1,1,528,none,yes,yes,-286,640,1
16216823,26,male,single,management/self-employed/highly qualified,2,critical account,632,car (new),5,2,none,1,car or other,none,own,4,1,206,registered,yes,yes,no checking account,152,1
6271089,33,female,divorced/separated,skilled employee / official,<1 year,existing credits paid,250,furniture/equipment,7,1,guarantor,3,unknown /no property,none,rent,3,1,231,none,yes,yes,443,681,1
1699108,19,male,single,management/self-employed/highly qualified,<1 year,critical account,4050,repairs,41,2,none,1,real estate,none,for free,3,2,1185,registered,yes,no,-250,51,2
1770539,33,male,married/widowed,skilled employee / official,<1 year,critical account,4848,education,57,2,none,1,real estate,none,own,2,1,205,registered,yes,yes,115,735,2
15080422,24,female,single,skilled employee / official,1,all paid,1274,furniture/equipment,23,4,none,4,unknown /no property,none,own,2,1,182,none,yes,yes,no checking account,28,1
15389288,25,male,single,unskilled - resident,<1 year,critical account,1597,furniture/equipment,11,2,guarantor,1,real estate,bank,own,2,1,209,registered,yes,yes,no checking account,54,1
14658084,34,male,single,skilled employee / official,<1 year,all paid,2013,radio/television,12,1,none,2,real estate,none,own,1,1,195,registered,yes,yes,no checking account,unknown,2
3790563,41,female,married/widowed,unskilled - resident,3,existing credits paid,4903,car (new),61,4,none,2,car or other,none,own,1,1,226,registered,no,yes,54,58,1
15448810,31,female,single,unemployed/unskilled - non-resident,9,critical account,250,furniture/equipment,10,4,none,4,unknown /no property,none,own,1,1,210,none,yes,yes,-270,63,2
5402630,52,male,divorced/separated,skilled employee / official,12,existing credits paid,1707,radio/television,41,4,none,2,real estate,none,own,1,1,210,none,yes,yes,173,unknown,1
7945765,40,female,single,management/self-employed/highly qualified,8,critical account,1745,car (new),48,3,none,2,life insurance,bank,own,1,2,1016,none,yes,yes,no checking account,69,2
9929541,30,male,single,skilled employee / official,<1 year,critical account,957,car (new),23,4,none,2,life insurance,none,own,2,1,50,none,no,yes,no checking account,unknown,1
2055991,46,male,single,management/self-employed/highly qualified,<1 year,critical account,250,car (new),16,4,none,2,real estate,none,own,1,1,207,registered,yes,yes,88,34,1
2361956,46,male,single,management/self-employed/highly qualified,3,critical account,2863,car (new),49,4,none,2,car or other,none,own,1,1,193,none,yes,yes,506,64,1
15450781,50,male,single,skilled employee / official,31,critical account,2261,radio/television,26,4,none,4,life insurance,bank,own,1,1,182,registered,yes,yes,28,48,1
5981208,39,female,married/widowed,skilled employee / official,1,critical account,3503,furniture/equipment,7,4,none,1,car or other,bank,own,2,1,190,none,yes,yes,72,2376,2
5718143,25,female,divorced/separated,management/self-employed/highly qualified,3,existing credits paid,250,car (new),29,4,none,1,life insurance,none,own,2,1,396,registered,yes,yes,105,unknown,1
11460237,47,female,single,skilled employee / official,24,critical account,5570,furniture/equipment,23,1,none,3,real estate,none,rent,2,1,231,registered,no,yes,-257,unknown,2
5788485,30,male,married/widowed,management/self-employed/highly qualified,12,critical account,3611,car (new),19,2,none,3,unknown /no property,none,own,2,1,66,registered,no,yes,no checking account,236,2
8477073,37,male,single,management/self-employed/highly qualified,1,critical account,250,education,31,4,none,4,real estate,bank,rent,2,1,204,registered,yes,yes,no checking account,92,1
2653407,24,male,divorced/separated,skilled employee / official,4,existing credits paid,2257,radio/television,25,4,none,2,unknown /no property,bank,own,2,1,933,none,yes,yes,no checking account,62,1
8959858,54,male,single,skilled employee / official,4,critical account,2289,radio/television,15,4,none,4,unknown /no property,stores,own,2,1,567,registered,yes,yes,no checking account,52,2
7116038,28,female,married/widowed,skilled employee / official,4,existing credits paid,3210,repairs,16,2,none,3,car or other,bank,for free,2,1,436,registered,yes,no,no checking account,unknown,1
14660277,45,male,single,unskilled - resident,<1 year,critical account,250,car (new),7,2,none,4,unknown /no property,none,own,2,1,174,registered,yes,yes,-181,178,2
2098152,29,male,divorced/separated,management/self-employed/highly qualified,unemployed,existing credits paid,1875,radio/television,4,1,none,1,real estate,stores,rent,1,1,184,none,yes,yes,69,858,2
11254218,24,female,single,skilled employee / official,7,critical account,3999,furniture/equipment,39,4,none,3,life insurance,stores,rent,2,1,219,registered,yes,yes,85,22,2
2353987,62,female,single,skilled employee / official,4,critical account,4000,radio/television,15,4,none,1,real estate,none,for free,1,2,213,registered,yes,yes,no checking account,100,2
93685,68,male,married/widowed,unskilled - resident,3,existing credits paid,250,car (new),25,4,none,2,real estate,bank,own,1,2,161,registered,yes,yes,no checking account,68,2
12989735,24,male,single,unskilled - resident,4,critical account,250,furniture/equipment,4,4,none,1,unknown /no property,none,own,2,2,178,registered,yes,yes,no checking account,17,1
16238244,44,male,married/widowed,skilled employee / official,1,existing credits paid,12954,furniture/equipment,57,1,none,4,life insurance,none,own,1,2,9,none,yes,yes,no checking account,55,2
12402648,26,male,single,management/self-employed/highly qualified,1,critical account,250,furniture/equipment,9,4,none,4,life insurance,none,own,2,1,199,none,no,yes,no checking account,946,1
8259888,19,male,single,skilled employee / official,7,critical account,2696,radio/television,4,4,guarantor,4,unknown /no property,bank,own,1,1,171,none,yes,yes,-230,unknown,1
13292918,33,male,married/widowed,management/self-employed/highly qualified,2,existing credits paid,250,car (new),39,4,none,1,real estate,none,rent,2,1,945,none,no,yes,no checking account,49,2
15262973,29,male,divorced/separated,skilled employee / official,5,no credits,1977,business,17,3,none,1,unknown /no property,none,own,2,1,201,registered,yes,yes,192,1820,2
8476305,27,female,single,skilled employee / official,<1 year,existing credits paid,250,car (new),8,4,none,4,car or other,none,own,2,1,186,none,yes,yes,-200,331,2
16553169,30,male,married/widowed,skilled employee / official,1,critical account,1091,car (new),31,4,none,2,real estate,bank,own,1,1,200,registered,yes,yes,no checking account,31,2
16587849,28,male,single,skilled employee / official,<1 year,critical account,3601,car (new),32,1,none,3,real estate,none,own,2,1,194,none,no,yes,394,83,2
3034418,21,male,single,unskilled - resident,2,no credits,250,business,4,4,none,3,real estate,none,for free,1,2,335,registered,no,no,no checking account,28,1
11983320,39,male,single,unskilled - resident,2,delay,3470,furniture/equipment,31,2,none,2,car or other,none,own,1,2,0,registered,yes,yes,141,60,1
13202582,34,female,divorced/separated,management/self-employed/highly qualified,unemployed,existing credits paid,7989,car (new),10,4,none,3,car or other,none,own,1,1,200,none,yes,yes,-261,81,2
13926326,47,female,single,unskilled - resident,unemployed,critical account,499,car (new),28,4,none,4,real estate,none,rent,1,1,232,none,no,yes,no checking account,unknown,2
5298744,62,male,single,skilled employee / official,unemployed,critical account,250,car (new),28,2,none,3,car or other,none,own,2,1,225,none,yes,yes,no checking account,51,2
8547624,26,male,single,management/self-employed/highly qualified,8,critical account,831,car (new),15,2,none,2,life insurance,none,own,1,1,188,none,yes,yes,520,82,2
4357182,36,female,single,unskilled - resident,7,critical account,2142,car (used),4,2,none,2,life insurance,none,own,1,2,894,registered,yes,yes,no checking account,45,1
4132739,43,male,single,skilled employee / official,7,critical account,3079,radio/television,4,4,none,2,real estate,bank,own,1,1,193,registered,yes,yes,no checking account,637,2
8270622,26,female,single,skilled employee / official,8,delay,12135,car (used),13,2,none,1,real estate,bank,own,1,1,1137,registered,yes,yes,no checking account,68,2
13557730,33,female,married/widowed,unskilled - resident,<1 year,existing credits paid,5273,furniture/equipment,10,4,none,4,unknown /no property,none,own,1,2,222,registered,yes,yes,122,58,2
3423936,32,male,single,unskilled - resident,1,critical account,4967,furniture/equipment,14,4,none,4,life insurance,none,own,1,1,611,registered,yes,yes,2,26,1
4583334,46,male,divorced/separated,skilled employee / official,<1 year,existing credits paid,250,car (new),32,4,none,4,real estate,none,own,1,1,608,none,yes,yes,33,47,1
10437451,35,male,divorced/separated,skilled employee / official,4,existing credits paid,1592,radio/television,18,4,none,4,real estate,none,own,1,1,215,registered,yes,yes,519,25,1
9285717,36,male,single,unskilled - resident,13,existing credits paid,1403,car (new),28,4,none,3,unknown /no property,none,own,2,2,202,none,yes,yes,no checking account,299,2
9807952,65,male,married/widowed,skilled employee / official,33,existing credits paid,3638,car (new),29,4,none,2,unknown /no property,none,own,1,2,197,none,yes,yes,no checking account,unknown,2
13799515,38,female,divorced/separated,skilled employee / official,unemployed,all paid,950,radio/television,24,4,guarantor,4,car or other,none,own,1,2,211,registered,no,no,-163,100,1
10904095,75,male,single,unskilled - resident,39,critical account,837,radio/television,18,4,none,4,car or other,none,own,2,1,197,none,yes,yes,108,73,1
11486984,36,female,single,skilled employee / official,9,critical account,1610,car (new),57,4,none,4,car or other,none,for free,2,1,578,registered,yes,yes,no checking account,65,2
5739611,45,male,divorced/separated,management/self-employed/highly qualified,28,critical account,1264,furniture/equipment,15,4,none,4,car or other,bank,own,1,1,200,none,yes,no,no checking account,unknown,2
5226931,41,male,single,skilled employee / official,6,critical account,394,car (new),52,4,none,2,car or other,none,own,2,1,296,none,yes,yes,84,766,1
2051168,41,female,single,management/self-employed/highly qualified,<1 year,critical account,1600,radio/television,8,4,none,4,car or other,none,own,1,1,89,none,yes,yes,26,76,1
7392324,41,female,single,management/self-employed/highly qualified,23,critical account,3769,furniture/equipment,18,3,none,4,unknown /no property,none,own,1,1,228,registered,yes,yes,no checking account,757,1
11923420,36,male,single,skilled employee / official,<1 year,critical account,8312,business,13,4,none,1,real estate,bank,own,1,1,221,none,yes,yes,no checking account,unknown,2
13444498,40,male,single,skilled employee / official,<1 year,critical account,3665,radio/television,4,4,none,4,unknown /no property,none,own,1,1,543,none,yes,yes,no checking account,unknown,1
5707017,45,female,single,management/self-employed/highly qualified,<1 year,critical account,3538,car (new),17,1,none,3,real estate,stores,own,1,1,192,registered,yes,yes,no checking account,5,2
2348023,30,male,single,unskilled - resident,4,critical account,4006,car (new),23,4,none,4,life insurance,none,rent,1,1,289,none,yes,yes,no checking account,16,2
11789611,50,male,married/widowed,skilled employee / official,7,existing credits paid,3443,repairs,23,4,none,3,real estate,bank,own,1,1,178,none,no,yes,no checking account,36,2
12505287,43,male,married/widowed,unemployed/unskilled - non-resident,7,existing credits paid,4729,furniture/equipment,17,1,guarantor,4,unknown /no property,bank,for free,1,1,189,none,yes,yes,76,707,1
13160132,35,male,single,management/self-employed/highly qualified,<1 year,critical account,5904,car (new),18,4,guarantor,2,life insurance,none,own,3,1,192,registered,yes,yes,605,752,2
6991208,39,male,single,management/self-employed/highly qualified,<1 year,all paid,1924,car (new),9,3,none,2,real estate,none,own,2,1,611,registered,yes,yes,-182,950,1
2366147,34,female,single,unskilled - resident,12,critical account,5184,repairs,42,1,guarantor,4,car or other,none,own,2,2,194,registered,yes,yes,no checking account,59,2
4385551,32,male,single,skilled employee / official,unemployed,all paid,250,furniture/equipment,4,4,none,1,real estate,bank,own,1,1,206,none,yes,no,no checking account,54,1
2023741,27,male,single,skilled employee / official,<1 year,critical account,3784,business,17,2,none,1,real estate,bank,own,1,1,173,registered,yes,yes,11,22,1
12499414,24,female,single,skilled employee / official,20,critical account,3151,radio/television,28,4,none,1,car or other,none,rent,2,1,810,none,yes,yes,no checking account,46,2
11065394,40,male,single,management/self-employed/highly qualified,2,critical account,2090,business,10,1,none,1,car or other,bank,rent,1,1,149,none,yes,yes,no checking account,34,2
13995766,35,male,divorced/separated,management/self-employed/highly qualified,unemployed,existing credits paid,1176,car (used),14,1,none,4,car or other,none,own,1,1,207,registered,yes,yes,116,24,1
13078616,38,male,divorced/separated,unskilled - resident,9,critical account,436,business,27,3,none,1,real estate,none,own,1,1,217,none,yes,yes,-219,unknown,2
12802514,23,male,single,management/self-employed/highly qualified,7,critical account,13279,education,14,3,co-applicant,1,life insurance,stores,own,2,1,237,none,yes,yes,66,181,2
6552763,34,male,single,skilled employee / official,unemployed,delay,3204,car (used),7,4,guarantor,4,car or other,none,own,1,1,195,registered,no,yes,130,474,1
9398560,24,male,divorced/separated,unskilled - resident,3,existing credits paid,12722,car (new),48,4,none,1,life insurance,none,for free,1,1,226,none,yes,yes,-148,416,2
14841214,37,male,divorced/separated,skilled employee / official,3,existing credits paid,3217,radio/television,13,3,none,4,unknown /no property,bank,own,1,1,162,registered,yes,yes,no checking account,28,1
12476923,41,female,single,skilled employee / official,18,critical account,2494,education,25,3,none,2,unknown /no property,none,for free,4,2,196,none,yes,yes,no checking account,37,1
5037699,39,male,married/widowed,unskilled - resident,4,existing credits paid,2230,business,64,4,none,1,unknown /no property,bank,rent,1,1,217,registered,no,yes,146,500,1
6178383,31,female,single,unskilled - resident,13,delay,1599,furniture/equipment,16,4,none,2,real estate,bank,for free,2,2,1185,registered,yes,yes,416,50,2
2312610,56,male,single,unskilled - resident,2,delay,3912,furniture/equipment,70,4,none,1,life insurance,none,own,1,1,927,registered,yes,yes,84,100,1
11188710,41,male,single,unskilled - resident,unemployed,delay,3397,car (new),23,3,guarantor,1,real estate,none,own,1,1,606,registered,yes,yes,116,55,2
11717454,30,male,single,management/self-employed/highly qualified,11,critical account,1873,car (new),22,4,none,2,car or other,none,own,2,1,221,none,yes,yes,148,unknown,2
11933874,44,female,single,management/self-employed/highly qualified,6,delay,584,car (new),10,4,none,2,real estate,none,rent,2,2,190,none,yes,yes,no checking account,57,2
14595901,36,male,single,management/self-employed/highly qualified,<1 year,critical account,250,car (used),24,4,none,1,unknown /no property,none,rent,2,1,194,registered,yes,yes,no checking account,42,2
10683673,40,female,single,unskilled - resident,11,critical account,4545,furniture/equipment,23,4,none,2,unknown /no property,none,own,1,1,182,registered,no,yes,no checking account,unknown,2
14737646,33,female,divorced/separated,skilled employee / official,12,existing credits paid,250,others,26,4,none,2,real estate,none,own,1,1,393,registered,yes,yes,no checking account,56,1
7100023,35,male,single,unskilled - resident,7,critical account,4095,car (new),28,4,guarantor,4,unknown /no property,stores,own,1,1,203,none,yes,yes,no checking account,65,1
3199857,68,male,single,unskilled - resident,7,all paid,1133,car (new),9,4,none,3,real estate,none,own,1,1,210,registered,yes,yes,no checking account,unknown,1
5722324,47,male,single,skilled employee / official,<1 year,existing credits paid,1307,car (used),6,2,none,4,car or other,none,own,1,1,197,none,yes,yes,76,58,2
5576133,21,female,divorced/separated,skilled employee / official,<1 year,critical account,1163,car (new),20,4,none,2,real estate,none,own,1,2,267,none,yes,yes,no checking account,781,1
5528346,39,female,single,skilled employee / official,1,critical account,3416,business,30,3,none,4,unknown /no property,bank,own,1,1,210,none,yes,yes,-209,unknown,1
12584164,19,female,divorced/separated,skilled employee / official,7,critical account,336,radio/television,12,4,none,2,unknown /no property,none,own,2,2,221,registered,no,yes,44,18,1
13213966,29,male,single,management/self-employed/highly qualified,18,delay,9597,repairs,23,4,none,2,life insurance,none,own,1,2,223,none,yes,yes,no checking account,1587,2
8173477,55,female,divorced/separated,management/self-employed/highly qualified,25,critical account,2519,car (new),47,3,none,4,unknown /no property,none,own,1,1,190,registered,yes,yes,-259,15,2
6239338,36,male,divorced/separated,management/self-employed/highly qualified,12,critical account,7360,business,9,2,none,4,unknown /no property,none,own,1,1,564,registered,yes,no,no checking account,61,1
1832324,41,female,single,skilled employee / official,<1 year,critical account,2520,car (new),22,4,none,4,life insurance,none,own,1,1,231,none,yes,yes,no checking account,35,1
11302987,42,male,single,management/self-employed/highly qualified,<1 year,critical account,5719,furniture/equipment,12,1,guarantor,4,real estate,none,own,1,1,199,registered,yes,yes,140,280,2
8364467,35,female,single,skilled employee / official,17,critical account,2192,car (new),10,4,none,4,real estate,none,rent,3,1,176,none,no,yes,no checking account,52,1
11736583,29,female,single,skilled employee / official,7,existing credits paid,2991,business,18,1,none,2,unknown /no property,none,own,1,1,1110,none,yes,yes,no checking account,2150,2
14328194,37,male,single,management/self-employed/highly qualified,<1 year,critical account,2505,car (new),38,2,none,1,car or other,none,own,2,1,459,registered,yes,yes,167,unknown,2
10404308,34,male,single,management/self-employed/highly qualified,11,existing credits paid,4092,car (new),15,1,none,1,unknown /no property,bank,rent,4,1,170,registered,yes,yes,492,59,1
16763312,29,male,single,unskilled - resident,<1 year,critical account,1004,education,25,3,none,3,real estate,none,own,1,1,195,none,yes,yes,150,40,2
15206026,31,male,single,skilled employee / official,<1 year,critical account,250,domestic appliances,21,2,none,3,unknown /no property,none,for free,1,1,0,none,no,yes,536,838,1
11149067,51,male,single,unskilled - resident,27,critical account,3020,car (new),6,2,guarantor,4,car or other,none,own,1,1,585,none,yes,yes,67,42,1
7876789,22,male,single,skilled employee / official,1,critical account,2249,car (used),53,2,guarantor,2,car or other,none,own,1,1,213,none,yes,yes,118,unknown,2
13193060,57,male,single,management/self-employed/highly qualified,25,critical account,324,car (new),15,2,none,2,real estate,none,own,1,1,1143,none,yes,no,no checking account,238,1
2266882,35,female,single,management/self-employed/highly qualified,<1 year,critical account,2016,business,7,2,none,2,real estate,none,own,3,1,184,registered,yes,yes,no checking account,78,2
11284360,42,male,single,skilled employee / official,4,delay,2000,car (used),4,4,none,4,life insurance,none,for free,1,1,232,registered,no,yes,-123,unknown,1
16392987,39,female,single,unskilled - resident,17,critical account,6753,car (used),36,4,co-applicant,4,unknown /no property,none,own,1,2,186,none,yes,yes,no checking account,25,2
10334690,43,female,single,unemployed/unskilled - non-resident,7,critical account,250,car (new),41,4,none,1,real estate,none,own,1,1,212,none,no,yes,-201,37,1
7927741,48,male,single,unskilled - resident,<1 year,critical account,250,radio/television,15,2,none,3,real estate,bank,own,1,1,172,registered,yes,yes,178,26,1
14287875,46,male,single,skilled employee / official,2,critical account,4599,business,4,2,none,4,car or other,bank,rent,2,1,172,none,yes,yes,no checking account,38,1
14336714,42,male,divorced/separated,skilled employee / official,19,existing credits paid,3712,car (new),29,4,none,1,car or other,none,rent,2,1,217,registered,yes,yes,238,918,2
10223141,75,female,single,skilled employee / official,1,critical account,1054,radio/television,49,4,none,4,car or other,none,rent,1,1,166,registered,yes,yes,no checking account,unknown,2
15562545,34,male,single,skilled employee / official,17,existing credits paid,2236,business,9,4,none,2,unknown /no property,none,own,2,1,397,none,yes,yes,141,43,2
2960056,42,male,single,unskilled - resident,24,critical account,7065,domestic appliances,40,3,none,2,real estate,none,own,1,1,127,registered,yes,yes,no checking account,69,1
5753083,34,male,single,skilled employee / official,4,critical account,2862,radio/television,22,4,none,1,real estate,none,own,2,2,195,registered,yes,yes,no checking account,44,1
1813795,33,female,single,management/self-employed/highly qualified,<1 year,existing credits paid,8038,car (new),26,3,none,4,life insurance,none,rent,2,2,686,none,yes,yes,no checking account,339,1
7263499,27,male,single,management/self-employed/highly qualified,6,existing credits paid,5912,car (new),59,1,none,1,real estate,none,own,1,1,672,registered,yes,yes,104,unknown,2
16497949,43,male,divorced/separated,unskilled - resident,16,existing credits paid,9303,radio/television,53,4,none,4,unknown /no property,bank,own,2,1,431,none,no,yes,85,unknown,2
4692217,41,male,single,skilled employee / official,17,critical account,5552,education,49,4,guarantor,4,life insurance,bank,own,1,1,429,registered,yes,yes,no checking account,36,2
893476,27,male,single,unskilled - resident,8,existing credits paid,5882,education,10,4,none,2,car or other,bank,own,1,1,215,none,yes,yes,509,739,2
13727519,36,male,single,skilled employee / official,4,critical account,5842,business,4,1,none,2,real estate,none,own,2,1,203,registered,yes,yes,no checking account,43,2
5844070,31,female,married/widowed,management/self-employed/highly qualified,4,critical account,850,car (new),20,4,none,1,life insurance,none,own,1,1,197,none,yes,yes,no checking account,281,2
9579088,52,male,single,skilled employee / official,unemployed,delay,3811,radio/television,24,4,none,2,real estate,none,own,1,1,191,registered,yes,yes,no checking account,79,2
16626660,34,male,single,skilled employee / official,11,existing credits paid,5937,car (used),24,4,none,2,unknown /no property,none,own,1,1,562,none,yes,yes,478,67,2
2444402,43,male,divorced/separated,skilled employee / official,8,all paid,1979,car (new),9,2,none,4,car or other,none,own,1,1,189,none,yes,yes,-182,unknown,1
11845374,30,male,single,management/self-employed/highly qualified,4,existing credits paid,3782,car (new),12,4,none,1,car or other,none,rent,1,2,119,none,yes,yes,no checking account,34,2
11581759,35,male,single,skilled employee / official,2,critical account,2303,furniture/equipment,25,2,none,4,car or other,none,own,2,1,356,none,yes,yes,74,330,1
207668,23,female,divorced/separated,skilled employee / official,<1 year,critical account,1471,car (new),43,4,none,2,car or other,none,own,1,1,187,none,no,yes,no checking account,73,2
10934820,31,female,single,management/self-employed/highly qualified,12,critical account,2047,car (new),29,4,none,4,real estate,none,own,1,1,432,registered,yes,yes,59,unknown,1
4442928,75,male,single,unskilled - resident,4,delay,3300,radio/television,33,4,co-applicant,2,car or other,none,own,1,1,172,registered,no,yes,no checking account,63,1
570918,35,male,divorced/separated,unskilled - resident,18,critical account,10725,car (new),4,4,co-applicant,4,unknown /no property,none,own,2,1,210,registered,yes,yes,117,43,1
1302708,29,male,divorced/separated,skilled employee / official,9,critical account,1535,education,31,4,none,4,real estate,none,own,2,2,220,none,no,yes,no checking account,2674,1
6669260,21,male,single,skilled employee / official,unemployed,existing credits paid,961,car (new),11,4,none,3,life insurance,none,own,2,1,188,none,yes,yes,-154,54,2
414966,42,male,divorced/separated,management/self-employed/highly qualified,<1 year,no credits,349,business,4,4,none,3,life insurance,none,own,2,2,204,none,no,yes,-183,unknown,1
14257429,27,male,single,management/self-employed/highly qualified,3,critical account,3695,car (new),72,4,none,4,real estate,none,own,2,1,513,registered,yes,yes,-226,71,2
13985871,20,female,single,skilled employee / official,1,existing credits paid,6985,education,14,4,none,4,car or other,bank,own,1,2,232,registered,yes,yes,no checking account,247,1
13066827,36,male,married/widowed,skilled employee / official,4,delay,2125,car (used),42,2,none,2,unknown /no property,bank,own,1,1,146,registered,no,yes,no checking account,358,2
14439860,23,male,divorced/separated,unskilled - resident,unemployed,delay,2225,car (new),10,4,none,3,car or other,none,own,1,1,237,registered,yes,yes,-174,817,2
14858762,29,male,married/widowed,management/self-employed/highly qualified,7,critical account,2915,car (new),17,3,none,3,life insurance,none,own,3,1,0,none,yes,yes,no checking account,unknown,1
9644063,38,female,divorced/separated,unskilled - resident,3,delay,2135,car (used),13,4,none,1,unknown /no property,none,own,1,1,930,registered,yes,yes,104,30,1
15692373,42,male,divorced/separated,skilled employee / official,19,existing credits paid,1360,car (new),52,2,none,4,unknown /no property,none,own,1,1,0,none,no,yes,131,unknown,2
15521622,28,male,single,unemployed/unskilled - non-resident,<1 year,existing credits paid,1548,furniture/equipment,13,3,guarantor,4,life insurance,bank,for free,1,1,215,registered,yes,yes,64,83,1
11089780,34,male,single,skilled employee / official,5,critical account,2530,car (new),14,4,none,3,real estate,none,own,2,1,211,none,yes,yes,83,39,2
1851641,45,male,single,skilled employee / official,17,existing credits paid,1801,furniture/equipment,7,2,none,4,unknown /no property,bank,own,1,1,208,none,yes,yes,80,36,1
5424114,27,male,divorced/separated,skilled employee / official,3,existing credits paid,10635,car (new),21,1,none,2,real estate,none,own,1,1,218,none,no,yes,26,14,2
7721891,29,male,single,skilled employee / official,<1 year,existing credits paid,1058,car (new),26,2,none,2,life insurance,none,own,1,1,195,none,yes,yes,100,45,2
8318729,26,male,single,management/self-employed/highly qualified,4,existing credits paid,1262,radio/television,22,3,none,3,real estate,stores,own,1,1,225,none,yes,yes,no checking account,47,2
11013750,41,male,single,management/self-employed/highly qualified,1,critical account,1953,car (new),38,4,none,4,real estate,none,for free,1,1,218,none,yes,yes,113,34,1
16212227,41,male,single,management/self-employed/highly qualified,4,existing credits paid,1680,car (new),11,2,none,2,car or other,none,rent,1,1,166,none,yes,yes,no checking account,38,1
2628850,41,male,single,skilled employee / official,6,critical account,2928,car (new),11,2,co-applicant,4,unknown /no property,stores,rent,1,1,200,none,yes,yes,no checking account,833,2
5974418,38,female,divorced/separated,management/self-employed/highly qualified,4,critical account,250,car (new),8,4,none,3,unknown /no property,none,own,1,1,217,registered,no,yes,-199,910,1
7364844,25,female,single,unskilled - resident,4,existing credits paid,250,furniture/equipment,37,3,none,1,real estate,none,own,1,1,206,none,yes,yes,no checking account,69,2
2951043,30,male,single,skilled employee / official,<1 year,critical account,4046,radio/television,4,4,none,4,unknown /no property,bank,rent,2,1,192,registered,yes,yes,88,425,2
